ID,Title,Price,Image URL,URL
104,Whispers of Love Oracle,₾50.00,https://onlinetarot.ge/wp-content/uploads/2021/09/71Jk2cay4oS._AC_SX522_-430x381.jpg,https://onlinetarot.ge/product/whispers-of-love-oracle/
105,Wisdom of the Oracle,₾50.00,https://onlinetarot.ge/wp-content/uploads/2021/09/image-430x430.jpg,https://onlinetarot.ge/product/wisdom-of-the-oracle/
106,Art Nouveau Lenormand,₾49.00,https://onlinetarot.ge/wp-content/uploads/2021/09/Art-Nouveau-Lenormand-Oracle-Deck-Family-Party-Mysterious-Divination-Fate-Gameplay-Tarot-Cards-Board-Game-Entertainment.jpg_q50-430x430.jpg,https://onlinetarot.ge/product/art-nouveau-lenormand/
107,PIXIE’S Astounding Lenormand,₾49.00,https://onlinetarot.ge/wp-content/uploads/2021/09/66707724090a82b3fc93b99ee781d91b-430x430.jpg,https://onlinetarot.ge/product/pixies-astounding-lenormand/
108,Dreaming Way Lenormand,₾49.00,https://onlinetarot.ge/wp-content/uploads/2021/08/dw1-430x386.jpg,https://onlinetarot.ge/product/dreaming-way-lenormand/
109,Blue Bird Lenormand  – ლურჯი ფრინველის ლენორმანი,₾49.00,https://onlinetarot.ge/wp-content/uploads/2021/07/il_794xN.3167679658_swk8-430x428.jpg,https://onlinetarot.ge/product/%e1%83%9a%e1%83%a3%e1%83%a0%e1%83%af%e1%83%98-%e1%83%a4%e1%83%a0%e1%83%98%e1%83%9c%e1%83%95%e1%83%94%e1%83%9a%e1%83%98%e1%83%a1-%e1%83%9a%e1%83%94%e1%83%9c%e1%83%9d%e1%83%a0%e1%83%9b%e1%83%90/
110,პაგანური ლენორმანი – Pagan Lenormand,₾49.00,https://onlinetarot.ge/wp-content/uploads/2021/05/9aed5b663c3cd23358997bd16b49b737-430x430.jpg,https://onlinetarot.ge/product/%e1%83%9e%e1%83%90%e1%83%92%e1%83%90%e1%83%9c%e1%83%a3%e1%83%a0%e1%83%98-%e1%83%9a%e1%83%94%e1%83%9c%e1%83%9d%e1%83%a0%e1%83%9b%e1%83%90%e1%83%9c%e1%83%98-pagan-lenormand/
111,რაიდერ ვეიტის ტაროს დასტა – ქართულენოვანი,₾59.00,https://onlinetarot.ge/wp-content/uploads/2021/02/1-1-430x430.png,https://onlinetarot.ge/product/%e1%83%a5%e1%83%90%e1%83%a0%e1%83%97%e1%83%a3%e1%83%9a%e1%83%98-%e1%83%a2%e1%83%90%e1%83%a0%e1%83%9d-%e1%83%a0%e1%83%90%e1%83%98%e1%83%93%e1%83%94%e1%83%a0%e1%83%98/
112,Gaia Oracle – ორაკული გაია,₾50.00,https://onlinetarot.ge/wp-content/uploads/2021/02/Cards-GAIA-Oracle-470x470_d043c277-9ace-42a3-bab7-07e34bd3a2d6-430x430.jpg,https://onlinetarot.ge/product/gaia-oracle-%e1%83%9d%e1%83%a0%e1%83%90%e1%83%99%e1%83%a3%e1%83%9a%e1%83%98-%e1%83%92%e1%83%90%e1%83%98%e1%83%90/
113,ნატურალური ეთერზეთების ნაკრები – სასაჩუქრე 6ც,₾65.00,https://onlinetarot.ge/wp-content/uploads/2021/02/81Lv59xDxxL._AC_SL1500_-430x420.jpg,https://onlinetarot.ge/product/%e1%83%9c%e1%83%90%e1%83%a2%e1%83%a3%e1%83%a0%e1%83%90%e1%83%9a%e1%83%a3%e1%83%a0%e1%83%98-%e1%83%94%e1%83%97%e1%83%94%e1%83%a0%e1%83%96%e1%83%94%e1%83%97%e1%83%94%e1%83%91%e1%83%98/
114,კედლის დეკორაცია – დაკიდებული კაცი,₾30.00,https://onlinetarot.ge/wp-content/uploads/2020/08/tarot-hangedman-600x988.jpg,https://onlinetarot.ge/product/%e1%83%99%e1%83%94%e1%83%93%e1%83%9a%e1%83%98%e1%83%a1-%e1%83%93%e1%83%94%e1%83%99%e1%83%9d%e1%83%a0%e1%83%90%e1%83%aa%e1%83%98%e1%83%90-%e1%83%93%e1%83%90%e1%83%99%e1%83%98%e1%83%93%e1%83%94%e1%83%91/
115,კედლის დეკორაცია – მაგი,₾30.00,https://onlinetarot.ge/wp-content/uploads/2020/10/მაგი-430x354.png,https://onlinetarot.ge/product/%e1%83%99%e1%83%94%e1%83%93%e1%83%9a%e1%83%98%e1%83%a1-%e1%83%93%e1%83%94%e1%83%99%e1%83%9d%e1%83%a0%e1%83%90%e1%83%aa%e1%83%98%e1%83%90-%e1%83%9b%e1%83%90%e1%83%92%e1%83%98/
116,კედლის დეკორაცია – მზე,₾30.00,https://onlinetarot.ge/wp-content/uploads/2020/10/მზეე-430x354.png,https://onlinetarot.ge/product/%e1%83%99%e1%83%94%e1%83%93%e1%83%9a%e1%83%98%e1%83%a1-%e1%83%93%e1%83%94%e1%83%99%e1%83%9d%e1%83%a0%e1%83%90%e1%83%aa%e1%83%98%e1%83%90-%e1%83%9b%e1%83%96%e1%83%94/
117,კედლის დეკორაცია – სულელი,₾30.00,https://onlinetarot.ge/wp-content/uploads/2020/10/il_794xN.1758651440_cnta-430x440.png,https://onlinetarot.ge/product/%e1%83%99%e1%83%94%e1%83%93%e1%83%9a%e1%83%98%e1%83%a1-%e1%83%93%e1%83%94%e1%83%99%e1%83%9d%e1%83%a0%e1%83%90%e1%83%aa%e1%83%98%e1%83%90-%e1%83%a1%e1%83%a3%e1%83%9a%e1%83%94%e1%83%9a%e1%83%98/
118,კედლის დეკორაცია – შეყვარებულები,₾30.00,https://onlinetarot.ge/wp-content/uploads/2020/10/შეყვარებულები-430x440.png,https://onlinetarot.ge/product/%e1%83%99%e1%83%94%e1%83%93%e1%83%9a%e1%83%98%e1%83%a1-%e1%83%93%e1%83%94%e1%83%99%e1%83%9d%e1%83%a0%e1%83%90%e1%83%aa%e1%83%98%e1%83%90-%e1%83%a8%e1%83%94%e1%83%a7%e1%83%95%e1%83%90%e1%83%a0/
119,პატარა პრინცის ტაროს დასტა,₾49.00,https://onlinetarot.ge/wp-content/uploads/2020/10/H7b267f4f60d24566b8525d0e1951dcd0B-430x323.jpg,https://onlinetarot.ge/product/%e1%83%a2%e1%83%90%e1%83%a0%e1%83%9d%e1%83%a1-%e1%83%93%e1%83%90%e1%83%a1%e1%83%a2%e1%83%90-%e1%83%9e%e1%83%90%e1%83%a2%e1%83%90%e1%83%a0%e1%83%90-%e1%83%9e%e1%83%a0%e1%83%98%e1%83%9c%e1%83%aa/
120,“პრერაფაელიტე” ტაროს დასტა,₾49.00,https://onlinetarot.ge/wp-content/uploads/2020/10/raph-430x307.png,https://onlinetarot.ge/product/%e1%83%9e%e1%83%a0%e1%83%94%e1%83%a0%e1%83%90%e1%83%a4%e1%83%90%e1%83%94%e1%83%9a%e1%83%98%e1%83%a2%e1%83%94-%e1%83%a2%e1%83%90%e1%83%a0%e1%83%9d%e1%83%a1-%e1%83%93%e1%83%90%e1%83%a1%e1%83%a2%e1%83%90/
